Fecha,Estado_Actual,diadelasemana,findesemana
2020-09-13,1.4619946608692873,6,1
2020-09-14,1.9145199523291905,0,0
2020-09-15,1.9327389965018535,1,0
2020-09-16,1.9321188348185492,2,0
2020-09-17,1.9312931214718796,3,0
2020-09-18,1.9823250541069772,4,0
2020-09-19,1.660125937719638,5,1
2020-09-20,1.509624775526921,6,1
2020-09-21,1.935549186147414,0,0
2020-09-22,1.9672338318828495,1,0
2020-09-23,2.0019520247343805,2,0
2020-09-24,1.4936286769084197,3,0
2020-09-25,1.8686163480114584,4,0
2020-09-26,1.6308379170982945,5,1
2020-09-27,1.4863060989643269,6,1
2020-09-28,1.9177134034646988,0,0
2020-09-29,1.9521694968225858,1,0
2020-09-30,1.956544502617801,2,0
2020-10-01,1.959958235447664,3,0
2020-10-02,2.0128399288865477,4,0
2020-10-03,1.754426807760141,5,1
2020-10-04,1.5417414365342776,6,1
2020-10-05,1.9260198413217091,0,0
2020-10-06,1.9362036249427468,1,0
2020-10-07,1.9295432711032638,2,0
2020-10-08,1.9612646044505055,3,0
2020-10-09,2.014107093964719,4,0
2020-10-10,1.667495676286037,5,1
2020-10-11,1.4955981017836688,6,1
2020-10-12,1.5481747259620133,0,0
2020-10-13,1.950662269269642,1,0
2020-10-14,1.9866208105738754,2,0
2020-10-15,1.9656882737570551,3,0
2020-10-16,1.959098992294013,4,0
2020-10-17,1.605960707444202,5,1
2020-10-18,1.4371476793248945,6,1
2020-10-19,1.8555514098395607,0,0
2020-10-20,1.8607577660097177,1,0
2020-10-21,1.8921084256910135,2,0
2020-10-22,1.8711614482881256,3,0
2020-10-23,1.935289869345414,4,0
2020-10-24,1.5911430586611042,5,1
2020-10-25,1.497132114561952,6,1
2020-10-26,1.8809438628692312,0,0
2020-10-27,1.8766293321475223,1,0
2020-10-28,1.8872051618430563,2,0
2020-10-29,1.9307710670804488,3,0
2020-10-30,1.8064425244177311,4,0
2020-10-31,1.3718776406962987,5,1
2020-11-01,1.259901772728231,6,1
2020-11-02,1.8647794439579686,0,0
2020-11-03,1.8564291920069504,1,0
2020-11-04,1.8766978569272563,2,0
2020-11-05,1.893235566657266,3,0
2020-11-06,1.7849339550383638,4,0
2020-11-07,1.3696823055633816,5,1
2020-11-08,1.3136300965136891,6,1
2020-11-09,1.860069799626933,0,0
2020-11-10,1.8706382978723404,1,0
2020-11-11,1.8844710871870158,2,0
2020-11-12,1.9260963868169074,3,0
2020-11-13,1.7978521794061908,4,0
2020-11-14,1.4088498897283093,5,1
2020-11-15,1.2926308500201973,6,1
2020-11-16,1.8888858077754977,0,0
2020-11-17,1.8903357571192676,1,0
2020-11-18,1.8943511982103867,2,0
2020-11-19,1.9658066726400674,3,0
2020-11-20,1.827829119920904,4,0
2020-11-21,1.413429310179717,5,1
2020-11-22,1.2914961164466985,6,1
2020-11-23,1.9567001091372895,0,0
2020-11-24,1.9972480688800185,1,0
2020-11-25,2.0275692643646788,2,0
2020-11-26,2.083159203322136,3,0
2020-11-27,1.977484202948783,4,0
2020-11-28,1.5834136628687916,5,1
2020-11-29,1.4865366276549632,6,1
2020-11-30,2.054827374644431,0,0
2020-12-01,2.0403328717656324,1,0
