fecha,intensidad,ocupacion,carga
2019-11-21,210.0,4.0,18.0
2019-11-22,224.0,4.0,19.0
2019-11-23,175.0,2.0,13.0
2019-11-24,145.0,2.0,11.0
2019-11-25,198.0,3.0,17.0
2019-11-26,204.0,4.0,17.0
2019-11-27,208.0,3.0,17.0
2019-11-28,214.0,4.0,18.0
2019-11-29,232.0,4.0,19.0
2019-11-30,184.0,3.0,14.0
2019-12-01,149.0,2.0,11.0
2019-12-02,203.0,3.0,17.0
2019-12-03,208.0,3.0,18.0
2019-12-04,212.0,4.0,18.0
2019-12-05,221.0,4.0,18.0
2019-12-06,133.0,2.0,10.0
2019-12-07,140.0,2.0,10.0
2019-12-08,122.0,1.0,9.0
2019-12-09,120.0,1.0,9.0
2019-12-10,207.0,3.0,17.0
2019-12-11,212.0,4.0,18.0
2019-12-12,220.0,4.0,18.0
2019-12-13,238.0,4.0,19.0
2019-12-14,192.0,3.0,14.0
2019-12-15,159.0,2.0,12.0
2019-12-16,225.0,4.0,18.0
2019-12-17,213.0,4.0,18.0
2019-12-18,217.0,4.0,18.0
2019-12-19,228.0,4.0,19.0
2019-12-20,242.0,4.0,20.0
2019-12-21,180.0,2.0,13.0
2019-12-22,150.0,2.0,11.0
2019-12-23,129.0,2.0,10.0
2019-12-24,103.0,1.0,8.0
2019-12-25,90.0,1.0,6.0
2019-12-26,170.0,3.0,14.0
2019-12-27,188.0,3.0,15.0
